26,Vlorflumaax the Destroyer,GillTrans,6266,406,A crate was unloaded but the truck still has more crates to unload.
26,Lowry,GillTrans,5114,241,A crate was unloaded but the truck still has more crates to unload.
26,Vlorflumaax the Destroyer,GillTrans,6266,406,A crate was unloaded but the truck still has more crates to unload.
26,Lowry,GillTrans,5114,241,A crate was unloaded but the truck still has more crates to unload.
26,Vlorflumaax the Destroyer,EHL,5482,222,A crate was unloaded but the truck still has more crates to unload.
27,Vlorflumaax the Destroyer,GillTrans,4297,121,A crate was unloaded but the truck still has more crates to unload.
27,Vlorflumaax the Destroyer,GillTrans,4297,121,A crate was unloaded but the truck still has more crates to unload.
27,Lowry,GillTrans,8215,393,A crate was unloaded but the truck still has more crates to unload.
27,Vlorflumaax the Destroyer,GillTrans,4297,121,A crate was unloaded but the truck still has more crates to unload.
27,Lowry,GillTrans,8215,393,A crate was unloaded but the truck still has more crates to unload.
27,Vlorflumaax the Destroyer,EHL,3009,439,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Vlorflumaax the Destroyer,GillTrans,5639,136,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Vlorflumaax the Destroyer,GillTrans,5639,136,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Lowry,GillTrans,9578,431,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Vlorflumaax the Destroyer,GillTrans,5639,136,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Lowry,GillTrans,9578,431,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
28,Landry,BUPS,8659,480,A crate was unloaded but the truck still has more crates to unload.
30,Bob's Cousin,GillTrans,6108,53,A crate was unloaded but the truck still has more crates to unload.
30,Bob's Cousin,GillTrans,6108,53,A crate was unloaded but the truck still has more crates to unload.
30,Steve,BreadEx,8204,102,A crate was unloaded but the truck still has more crates to unload.
30,Bob's Cousin,GillTrans,6108,53,A crate was unloaded but the truck still has more crates to unload.
30,Steve,BreadEx,8204,102,A crate was unloaded but the truck still has more crates to unload.
30,Landry,BUPS,7525,326,A crate was unloaded but the truck still has more crates to unload.
31,Bob's Cousin,GillTrans,5164,192,A crate was unloaded but the truck still has more crates to unload.
31,Bob's Cousin,GillTrans,5164,192,A crate was unloaded but the truck still has more crates to unload.
31,Steve,BreadEx,8936,402,A crate was unloaded but the truck still has more crates to unload.
31,Bob's Cousin,GillTrans,5164,192,A crate was unloaded but the truck still has more crates to unload.
31,Steve,BreadEx,8936,402,A crate was unloaded but the truck still has more crates to unload.
31,Landry,BUPS,5013,484,A crate was unloaded but the truck still has more crates to unload.
32,Bob's Cousin,GillTrans,8020,235,A crate was unloaded but the truck still has more crates to unload.
32,Bob's Cousin,GillTrans,8020,235,A crate was unloaded but the truck still has more crates to unload.
32,Steve,BreadEx,2606,319,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
32,Bob's Cousin,GillTrans,8020,235,A crate was unloaded but the truck still has more crates to unload.
32,Steve,BreadEx,2606,319,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
32,Landry,BUPS,1444,145,A crate was unloaded but the truck still has more crates to unload.
33,Bob's Cousin,GillTrans,5832,137,A crate was unloaded but the truck still has more crates to unload.
33,Bob's Cousin,GillTrans,5832,137,A crate was unloaded but the truck still has more crates to unload.
33,Larry,XPORT,8587,349,A crate was unloaded but the truck still has more crates to unload.
33,Bob's Cousin,GillTrans,5832,137,A crate was unloaded but the truck still has more crates to unload.
33,Larry,XPORT,8587,349,A crate was unloaded but the truck still has more crates to unload.
33,Landry,BUPS,4098,242,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Bob's Cousin,GillTrans,9673,128,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Bob's Cousin,GillTrans,9673,128,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Larry,XPORT,4050,394,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Bob's Cousin,GillTrans,9673,128,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Larry,XPORT,4050,394,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
34,Lowry,EHL,7384,194,A crate was unloaded but the truck still has more crates to unload.
35,Jebediah,BUPS,9869,210,A crate was unloaded but the truck still has more crates to unload.
35,Jebediah,BUPS,9869,210,A crate was unloaded but the truck still has more crates to unload.
35,Vlorflumaax the Destroyer,EHL,1805,124,A crate was unloaded but the truck still has more crates to unload.
35,Jebediah,BUPS,9869,210,A crate was unloaded but the truck still has more crates to unload.
35,Vlorflumaax the Destroyer,EHL,1805,124,A crate was unloaded but the truck still has more crates to unload.
35,Lowry,EHL,5317,340,A crate was unloaded but the truck still has more crates to unload.
36,Jebediah,BUPS,7473,147,A crate was unloaded but the truck still has more crates to unload.
36,Jebediah,BUPS,7473,147,A crate was unloaded but the truck still has more crates to unload.
36,Vlorflumaax the Destroyer,EHL,9403,157,A crate was unloaded but the truck still has more crates to unload.
36,Jebediah,BUPS,7473,147,A crate was unloaded but the truck still has more crates to unload.
36,Vlorflumaax the Destroyer,EHL,9403,157,A crate was unloaded but the truck still has more crates to unload.
36,Lowry,EHL,5301,438,A crate was unloaded but the truck still has more crates to unload.
39,Jebediah,BUPS,8042,431,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
39,Jebediah,BUPS,8042,431,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
39,Vlorflumaax the Destroyer,EHL,3074,219,A crate was unloaded but the truck still has more crates to unload.
39,Jebediah,BUPS,8042,431,A crate was unloaded, and the truck has no more crates to unload, and another truck is already in the Dock.
39,Vlorflumaax the Destroyer,EHL,3074,219,A crate was unloaded but the truck still has more crates to unload.
39,Lowry,EHL,1215,366,A crate was unloaded but the truck still has more crates to unload.

